experiment,case,parameter,scale_label,mode,metric,n,mean,std,bootstrap_ci95_low,bootstrap_ci95_high
sensitivity,tau_x0.75,tau,0.75,FixedSensitivity,dir_sense_uncertain_pct,10,2.6814445010000005,0.23545121605443597,2.548327802825,2.826502859175
sensitivity,tau_x0.75,tau,0.75,FixedSensitivity,dir_sense_dominant_pct,10,96.27644807,0.3680429149139636,96.06155854975,96.48394920075
sensitivity,tau_x0.75,tau,0.75,FixedSensitivity,accel_bias_3d_rms_mps2,10,0.11212297969999999,0.06027848912475025,0.0772124029255,0.1476742066435
sensitivity,tau_x0.75,tau,0.75,FixedSensitivity,gyro_bias_3d_rms_radps,10,0.00034309920449999997,0.0001380062084775363,0.0002674735435025,0.000427349190635
sensitivity,tau_x1,tau,1,FixedSensitivity,disp_x_rms_m,10,0.1800153465,0.009929766661627756,0.17417780429250002,0.18597684440499998
sensitivity,tau_x1,tau,1,FixedSensitivity,disp_y_rms_m,10,0.18769249179999997,0.021818339229886467,0.1750781945475,0.2007995017425
sensitivity,tau_x1,tau,1,FixedSensitivity,disp_z_rms_m,10,0.07371229083,0.0036211765204814564,0.0716084908835,0.075796479845
sensitivity,tau_x1,tau,1,FixedSensitivity,disp_3d_rms_m,10,0.271107781,0.01038439360996154,0.26534852412,0.27734335033500007
sensitivity,tau_x1,tau,1,FixedSensitivity,disp_x_pct_hs,10,12.001022540000001,0.6619845003094966,11.624443070000002,12.3851541955
sensitivity,tau_x1,tau,1,FixedSensitivity,disp_y_pct_hs,10,12.51283244,1.4545558489232768,11.68235498725,13.369863443499998
sensitivity,tau_x1,tau,1,FixedSensitivity,disp_z_pct_hs,10,4.914152576,0.24141172185015033,4.774488866975,5.055407329325
sensitivity,tau_x1,tau,1,FixedSensitivity,disp_3d_pct_refmax,10,20.675791939999996,1.3364580316907064,19.955174384249997,21.513935433500002
sensitivity,tau_x1,tau,1,FixedSensitivity,disp_z_ref_rms_m,10,0.37427037360000004,0.004893837461117378,0.37137601681,0.3770410321575
sensitivity,tau_x1,tau,1,FixedSensitivity,disp_z_pct_refrms,10,19.704417409999998,1.1325575720396135,19.039230310999997,20.3806658635
sensitivity,tau_x1,tau,1,FixedSensitivity,roll_rms_deg,10,0.6220740605999999,0.3693076728463152,0.41398936445,0.8423561746124999
sensitivity,tau_x1,tau,1,FixedSensitivity,pitch_rms_deg,10,0.3016546785,0.12193170829173398,0.2312519757475,0.37935515055749996
sensitivity,tau_x1,tau,1,FixedSensitivity,yaw_rms_deg,10,2.492126193,2.8006046341917266,1.06725725074,4.314903720954999
sensitivity,tau_x1,tau,1,FixedSensitivity,dir_axis_error_deg,10,0.5799972534,0.9744847204132959,0.003015326930000017,1.1350687417475
sensitivity,tau_x1,tau,1,FixedSensitivity,dir_axis_abs_error_deg,10,0.9401992806000001,0.5841237977592951,0.6283409504049999,1.3029024887774998
sensitivity,tau_x1,tau,1,FixedSensitivity,dir_axis_rmse_deg,10,12.032573320000001,0.37119905296165323,11.80802412175,12.24070988
sensitivity,tau_x1,tau,1,FixedSensitivity,dir_axis_circ_std_deg,10,11.909761150000001,0.33559990134468903,11.70983227075,12.098730662500001
sensitivity,tau_x1,tau,1,FixedSensitivity,dir_sense_forward_pct,10,86.7488914668,30.1879235089414,67.5801557274,96.45378324400001
sensitivity,tau_x1,tau,1,FixedSensitivity,dir_sense_reverse_pct,10,10.561000421200001,30.048394482062328,0.9565555874999999,29.611949820012498
sensitivity,tau_x1,tau,1,FixedSensitivity,dir_sense_uncertain_pct,10,2.690111186,0.23770666227751008,2.554555655425,2.8316181499499997
sensitivity,tau_x1,tau,1,FixedSensitivity,dir_sense_dominant_pct,10,96.2728363,0.3567570466023218,96.05188646875,96.46873111149999
sensitivity,tau_x1,tau,1,FixedSensitivity,accel_bias_3d_rms_mps2,10,0.11257994679999998,0.06150900151009401,0.07591011922525,0.14846201344350002
sensitivity,tau_x1,tau,1,FixedSensitivity,gyro_bias_3d_rms_radps,10,0.0003435877603,0.00013746074001926345,0.00026730971778249997,0.00043015093677250003
sensitivity,tau_x1.25,tau,1.25,FixedSensitivity,disp_x_rms_m,10,0.1795243562,0.009861779288581186,0.17377687760750002,0.18541647436500003
sensitivity,tau_x1.25,tau,1.25,FixedSensitivity,disp_y_rms_m,10,0.188119547,0.02182659081296616,0.1754622051175,0.201066206875
sensitivity,tau_x1.25,tau,1.25,FixedSensitivity,disp_z_rms_m,10,0.07369022443,0.00366965235307281,0.07153394003525,0.07581063263475
sensitivity,tau_x1.25,tau,1.25,FixedSensitivity,disp_3d_rms_m,10,0.2710679949,0.010475448605627682,0.2652452404200001,0.2775213766125
sensitivity,tau_x1.25,tau,1.25,FixedSensitivity,disp_x_pct_hs,10,11.96829005,0.6574520061816265,11.593656812,12.352608354750002
sensitivity,tau_x1.25,tau,1.25,FixedSensitivity,disp_y_pct_hs,10,12.54130276,1.4551059391816974,11.704550033250001,13.415838435499998
sensitivity,tau_x1.25,tau,1.25,FixedSensitivity,disp_z_pct_hs,10,4.912681388,0.24464355042345654,4.764183772175,5.055619372224999
