experiment,parameter,left_case,right_case,comparison,metric,n_pairs,mean_paired_difference,std_paired_difference,bootstrap_ci95_low,bootstrap_ci95_high,cohen_dz,hedges_gz
transition_rate,,rapid/Adaptive,controlled/Adaptive,rapid_minus_controlled_Adaptive,dir_travel_error_deg,10,-0.27794554764999996,0.701443889031219,-0.7224271364745,0.10521737916799988,-0.39624772843039124,-0.3621208499423684
transition_rate,,rapid/Adaptive,controlled/Adaptive,rapid_minus_controlled_Adaptive,dir_travel_abs_error_deg,10,-0.33485020024999995,0.6699239925893407,-0.74826504493975,0.021950179969999987,-0.49983312130046537,-0.4567849396427964
transition_rate,,rapid/Adaptive,controlled/Adaptive,rapid_minus_controlled_Adaptive,dir_travel_rmse_deg,10,0.06772403999999987,1.3291267488183314,-0.6862247142500002,0.8787748699999998,0.05095378605555141,0.0465653857179379
transition_rate,,rapid/Adaptive,controlled/Adaptive,rapid_minus_controlled_Adaptive,dir_travel_correct_pct,10,0.12238999000000206,0.38162078709899167,-0.10695398674999852,0.34029047075000163,0.32071101506389993,0.2930897441882011
transition_rate,,rapid/Adaptive,controlled/Adaptive,rapid_minus_controlled_Adaptive,dir_travel_wrong_pct,10,0.03588892300000004,0.21730534259961187,-0.08822215759999999,0.16766809750000006,0.16515435180130789,0.15093041538148932
transition_rate,,rapid/Adaptive,controlled/Adaptive,rapid_minus_controlled_Adaptive,dir_travel_unresolved_pct,10,-0.15827779799999994,0.23323892749840947,-0.293390255975,-0.02221670685000002,-0.6786079823706928,-0.620162796458579
transition_rate,,rapid/Adaptive,controlled/Adaptive,rapid_minus_controlled_Adaptive,accel_bias_3d_rms_mps2,10,0.0003493685100000015,0.0005911223233709675,-2.5821514999981012e-06,0.0006878076072500024,0.5910257423669486,0.5401235863522079
transition_rate,,rapid/Adaptive,controlled/Adaptive,rapid_minus_controlled_Adaptive,gyro_bias_3d_rms_radps,10,6.462050000000824e-08,4.914404592766576e-07,-2.1395220999998889e-07,3.5739280000001005e-07,0.13149202264527018,0.1201672579665301
transition_rate,,rapid/FixedNominal,controlled/FixedNominal,rapid_minus_controlled_FixedNominal,disp_x_rms_m,10,0.04249986949999999,0.023177631012082194,0.029830754199999976,0.0566536746375,1.8336589049090206,1.6757348333081807
transition_rate,,rapid/FixedNominal,controlled/FixedNominal,rapid_minus_controlled_FixedNominal,disp_y_rms_m,10,0.02153776289999998,0.009597470123696309,0.015894714852499985,0.027153627617499967,2.2441083558908814,2.050834280910541
transition_rate,,rapid/FixedNominal,controlled/FixedNominal,rapid_minus_controlled_FixedNominal,disp_z_rms_m,10,0.017072153,0.0074628163542480915,0.012831340705000008,0.02155603678749999,2.28762871677553,2.090606446004772
transition_rate,,rapid/FixedNominal,controlled/FixedNominal,rapid_minus_controlled_FixedNominal,disp_3d_rms_m,10,0.050240278999999985,0.02320343730030842,0.03726271849999997,0.06419241927499998,2.1652084710454598,1.9787296571849868
transition_rate,,rapid/FixedNominal,controlled/FixedNominal,rapid_minus_controlled_FixedNominal,disp_x_pct_hs,10,1.06249638,0.579440641469497,0.7293683680000009,1.413125564,1.8336587114522103,1.6757346565128592
transition_rate,,rapid/FixedNominal,controlled/FixedNominal,rapid_minus_controlled_FixedNominal,disp_y_pct_hs,10,0.5384440400000001,0.2399371422923855,0.39468782074999914,0.677351831750001,2.2441045802898514,2.0508308304835583
transition_rate,,rapid/FixedNominal,controlled/FixedNominal,rapid_minus_controlled_FixedNominal,disp_z_pct_hs,10,0.42680358999999973,0.1865703411386466,0.3213317764749995,0.5363326390750001,2.2876282875145084,2.090606053713903
transition_rate,,rapid/FixedNominal,controlled/FixedNominal,rapid_minus_controlled_FixedNominal,disp_3d_pct_refmax,10,-0.03440361000000038,1.3565491562101653,-0.8364479160000003,0.7549688914999994,-0.025361122995435602,-0.023176893533191315
transition_rate,,rapid/FixedNominal,controlled/FixedNominal,rapid_minus_controlled_FixedNominal,disp_z_ref_rms_m,10,0.03167425989999999,0.013245500687141814,0.024248023220000005,0.03964965979499998,2.3913222042823987,2.1853693206797042
transition_rate,,rapid/FixedNominal,controlled/FixedNominal,rapid_minus_controlled_FixedNominal,disp_z_pct_refrms,10,0.26968955999999833,0.24795226657567773,0.13250830699999888,0.4251087799999977,1.087667250332177,0.9939917907036209
transition_rate,,rapid/FixedNominal,controlled/FixedNominal,rapid_minus_controlled_FixedNominal,roll_rms_deg,10,0.0007764228999999929,0.0018294748466563674,-0.00033238222750000613,0.0018190962799999918,0.4243965974274088,0.3878453945511005
transition_rate,,rapid/FixedNominal,controlled/FixedNominal,rapid_minus_controlled_FixedNominal,pitch_rms_deg,10,0.009432452699999988,0.006300890805222266,0.0058190386,0.013230716992499975,1.497003041567113,1.3680734926252667
