arm,family,record,axis,settle_own_s,settle_usable_s,peak_err_m,peak_t_s,ss_err_rms_m,ss_ref_rms_m,ss_ratio
engine,TFG,wave_data_jonswap_H1.500_L50.710_A-30.00_P120.00,y,50.655,167.055,0.290665,40.545,0.0525761,0.0717974,0.732284
engine,TFG,wave_data_jonswap_H1.500_L50.710_A-30.00_P120.00,z,83.755,82.445,1.16666,50.68,0.0688563,0.390974,0.176115
engine,PII,wave_data_jonswap_H1.500_L50.710_A-30.00_P120.00,z,134.965,164.315,1.30281,23.5,0.0764825,0.390974,0.195621
engine,OU-II,wave_data_jonswap_H1.500_L50.710_A-30.00_P120.00,x,21.42,180,0.426491,13.275,0.0866455,0.164758,0.525896
engine,OU-II,wave_data_jonswap_H1.500_L50.710_A-30.00_P120.00,y,0,180,0.154998,36.465,0.0577386,0.0717974,0.804187
engine,OU-II,wave_data_jonswap_H1.500_L50.710_A-30.00_P120.00,z,138.575,139.64,2.19115,102.59,0.0991657,0.390974,0.253638
engine,OU-III,wave_data_jonswap_H1.500_L50.710_A-30.00_P120.00,x,45.46,172.4,0.447376,36.3,0.0696051,0.164758,0.422469
engine,OU-III,wave_data_jonswap_H1.500_L50.710_A-30.00_P120.00,y,0,169.805,0.195966,40.29,0.0638416,0.0717974,0.88919
engine,OU-III,wave_data_jonswap_H1.500_L50.710_A-30.00_P120.00,z,135.575,135.45,1.46771,104.03,0.0688489,0.390974,0.176096
engine,NLO,wave_data_jonswap_H4.000_L112.766_A30.00_P30.00,x,167.545,180,7.61344,35.44,0.974232,0.588407,1.65571
engine,NLO,wave_data_jonswap_H4.000_L112.766_A30.00_P30.00,y,33.8,180,3.66779,19.255,1.04835,0.31177,3.36258
engine,NLO,wave_data_jonswap_H4.000_L112.766_A30.00_P30.00,z,26.01,180,2.30263,15.33,0.27604,1.04309,0.264637
engine,TFG,wave_data_jonswap_H4.000_L112.766_A30.00_P30.00,x,61.075,164.885,1.35417,16.195,0.257269,0.588407,0.437229
engine,TFG,wave_data_jonswap_H4.000_L112.766_A30.00_P30.00,y,72.785,173.355,0.551296,16.85,0.146679,0.31177,0.470472
engine,TFG,wave_data_jonswap_H4.000_L112.766_A30.00_P30.00,z,93.005,91.87,2.99596,71.215,0.178619,1.04309,0.17124
engine,PII,wave_data_jonswap_H4.000_L112.766_A30.00_P30.00,z,32.65,85.8,2.11185,13.25,0.235965,1.04309,0.226217
engine,OU-II,wave_data_jonswap_H4.000_L112.766_A30.00_P30.00,x,21.27,174.28,1.35417,16.195,0.281784,0.588407,0.478893
engine,OU-II,wave_data_jonswap_H4.000_L112.766_A30.00_P30.00,y,0,180,0.551296,16.85,0.17862,0.31177,0.572924
engine,OU-II,wave_data_jonswap_H4.000_L112.766_A30.00_P30.00,z,161.78,169.085,5.11919,91.71,0.253843,1.04309,0.243357
engine,OU-III,wave_data_jonswap_H4.000_L112.766_A30.00_P30.00,x,48.25,165.755,1.35417,16.195,0.263185,0.588407,0.447284
engine,OU-III,wave_data_jonswap_H4.000_L112.766_A30.00_P30.00,y,54.745,180,0.551296,16.85,0.163442,0.31177,0.524241
engine,OU-III,wave_data_jonswap_H4.000_L112.766_A30.00_P30.00,z,138.555,138.525,3.33032,93.61,0.176593,1.04309,0.169298
engine,NLO,wave_data_jonswap_H8.500_L202.839_A-30.00_P72.00,x,114.15,180,12.5475,67.825,3.05798,1.37091,2.23062
